timestamp,aircraftid,lat,lon,altitude
470.0,LNI204,-6.191561443847772,106.77676281214471,19.9644
470.0,BTK702,-6.227658801328873,106.82050265832038,19.9644
470.0,CTV855,-6.154567234061079,106.70434631533426,19.9644
471.0,SD05,-6.185444531148778,106.75558810192304,19.9644
471.0,LNI204,-6.191473652379802,106.77652231633216,19.9644
471.0,BTK702,-6.227414390729323,106.82010698262309,19.9644
471.0,CTV855,-6.154759273556386,106.70466496701873,19.9644
472.0,SD05,-6.185576537683228,106.75580720095685,19.9644
472.0,LNI204,-6.191385860803526,106.77628182059959,19.9644
472.0,BTK702,-6.227169979835103,106.81971130729414,19.9644
472.0,CTV855,-6.15495131286278,106.70498361893355,19.9644
473.0,SD05,-6.185708544127924,106.75602630010009,19.9644
473.0,LNI204,-6.19129806911894,106.77604132494702,19.9644
473.0,BTK702,-6.226925568646227,106.81931563233354,19.9644
473.0,CTV855,-6.155143351980252,106.70530227107872,19.9644
474.0,SD05,-6.185840550482865,106.75624539935275,19.9644
474.0,LNI204,-6.191210277326044,106.77580082937439,19.9644
474.0,BTK702,-6.226681157162706,106.81891995774129,19.9644
474.0,CTV855,-6.155335390908797,106.70562092345426,19.9644
475.0,SD05,-6.185972556748051,106.75646449871483,19.9644
475.0,LNI204,-6.191122485424838,106.77556033388177,19.9644
475.0,BTK702,-6.226436745384551,106.81852428351735,19.9644
475.0,CTV855,-6.1555274296484095,106.70593957606016,19.9644
476.0,SD05,-6.186104562923477,106.75668359818634,19.9644
476.0,LNI204,-6.191034693415322,106.77531983846912,19.9644
476.0,BTK702,-6.226192333311774,106.81812860966171,19.9644
476.0,CTV855,-6.1557194681990826,106.70625822889644,19.9644
477.0,SD05,-6.186236569009142,106.7569026977673,19.9644
477.0,LNI204,-6.190946901297492,106.77507934313644,19.9644
477.0,BTK702,-6.225947920944387,106.81773293617437,19.9644
477.0,CTV855,-6.15591150656081,106.70657688196312,19.9644
478.0,SD05,-6.186368575005043,106.75712179745773,19.9644
478.0,LNI204,-6.19085910907135,106.77483884788376,19.9644
478.0,BTK702,-6.225703508282403,106.81733726305531,19.9644
478.0,CTV855,-6.156103544733587,106.70689553526019,19.9644
479.0,SD05,-6.1865005809111775,106.75734089725758,19.9644
479.0,LNI204,-6.190771316736891,106.77459835271102,19.9644
479.0,BTK702,-6.225459095325833,106.81694159030451,19.9644
479.0,CTV855,-6.156295582717407,106.70721418878765,19.9644
480.0,SD05,-6.186632586727547,106.75755999716685,19.9644
480.0,LNI204,-6.190683524294114,106.7743578576183,19.9644
480.0,BTK702,-6.22521468207469,106.81654591792196,19.9644
480.0,CTV855,-6.156487620512263,106.70753284254549,19.9644
481.0,SD05,-6.186764592454149,106.75777909718555,19.9644
481.0,LNI204,-6.190595731743017,106.77411736260554,19.9644
481.0,BTK702,-6.224970268528985,106.81615024590764,19.9644
481.0,CTV855,-6.15667965811815,106.70785149653378,19.9644
482.0,SD05,-6.18689659809098,106.75799819731368,19.9644
